CLDECP|CLFACP|CDAGE|RASCL|RASC2|INDCL|LOCCL|PROCL|CCAPCP|PAIVCP|CDLIN|CDLIS|TPIVA|SCONTO
ALPES|ALPES|02|GARNI DES ALPES|DES HILPOLD DAVID|HAUPTSTRASSE, 92|SULDEN|BZ|39020|03182280218||02|N||
ALPINA|ALPINA|02|ALPINA RESORT|REINSTADLER LUKAS & CO. KG|SULDEN, 111|STILFS - SULDEN|BZ|39020|02849100215||02|N||
ALPINAMA|ALPINAMA|02|ALPINA MARKET SULDEN|HOLZER LYDIA|FORSTSTR. 74-E|STILFS/SULDEN|BZ|39029|02895920219||02|N||
AONDIO|AONDIO|02|AONDIO|PLATZER MARIA|DORF, 166|STILFS|BZ|39020|00227750213||02|N||
APRES|APRES|02|APRES SULDEN|HEINISCH FRANZ|SULDEN, 52|STILFS|BZ|39029|00673330213||02|N||
ARNIKA|ARNIKA|02|GARNI ARNIKA|GALLIA ILSE|HAUPTSTRASSE, 94|SULDEN|BZ|39029|01316090214||02|N||
CAMPING|CAMPING|02|CAMPING TRAFOI KG|DES TSCHENETT ERNST|DORF 146|STILFS|BZ|39020|02317050215||02|N||
DALLIADA|DALLIADA|02|GARNI DALLIADA - HOF|MICHAELA WALLNOFER|TRAFOI , 59|STILFS|BZ|39020|01702190214||02|N||
DORFLA01|DORFLA01|02|DORFLADELE|POHL ALEXANDER & CO. KG|TSCHENGLS, 101|LAAS|BZ|39023|02665650210||01|N||
DORFLADE|DORFLADE|02|DORFLADELE|ERNST ANGERER|TRAFOI, 54|STILFS|BZ|39020|01091240216||01|N||
ERIKA|ERIKA|02|RESIDENCE ERIKA|WALDER ERIKA|HAUPTSTRASSE, 55|SULDEN|BZ|39029|00672440211||02|N||
FEUERW15|FEUERW15|02|FREIWILLIGE FEUERWEHR SULDEN EO||ROSIMSTRASSE, 37|STILFS|BZ|39029|91014710213||02|N||
FRANZE01|FRANZE01|02|HOTEL FRANZENSHOHE|WALLNOFER KARIN|BACHSTRASSE, 47|TRAFOI|BZ|39020|01266870219||02|N||
FREIZEIT|FREIZEIT|02|GDB SPORT|DI GIORGIO DE BERNARDI|VIA PRINCIPALE, 50|SOLDA|BZ|39029|02321190213|1|02|N||
FURKEL01|FURKEL01|02|TRAFOI GMBH|FURKELHUTTE|TRAFOI, 57|TRAFOI|BZ|39020|01525600217||02|N||
GIN|GIN|02|G.I.N. 2002 SRL||TRAFOI, 62|STELVIO|BZ|39020|02312320217|1|02|N||
HBAMBI|HBAMBI01|02|PENSION BAMBI|REINSTADLER PATRIZIA|HAUPTSTRASSE, 8|SULDEN|BZ|39029|01342330212||02|N||
HBAMBI01|HBAMBI01|02|HOGAST ITALIEN EINKAUFSGEN.|FUR DAS HOTEL- UND GASTGEWERBE|SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|01342330212|||N||
HBELLA01|HBELLA01|02|HOGAST ITALIEN EINKAUFSGEN.|FUR DAS HOTEL- UND GASTGEWERBE|SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|01342330212||01|N||
HBELLAVI|HBELLA01|02|HOTEL BELLAVISTA|BELLAVISTA TRAFOI GMBH|TRAFOI, 11|TRAFOI|BZ|39020|01342330212||02|N||
HCEVED01|HCEVED01|02|HOGAST ITALIEN EINKAUFSGEN.|FUR DAS HOTEL- UND GASTGEWERBE|SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|01342330212||01|N||
HCEVEDAL|HCEVED01|02|HOTEL CEVEDALE|D.ORTLER ALEXANDER & C. KG|HAUPTSTRASSE, 80|SULDEN|BZ|39029|01342330212||02|N||
HCORNE01|HCORNE01|02|HOGAST ITALIEN EINKAUFSGEN.|FUR DAS HOTEL- UND GASTGEWERBE|SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|01342330212||01|N||
HCORNELI|HCORNE01|02|HOTEL CORNELIA|KNOLL CHRISTIAN|HAUPTSTRASSE, 48|SULDEN|BZ|39029|01342330212||02|N||
HCRIST01|HCRIST01|02|HOGAST ITALIEN EINKAUFSGEN.|FUR DAS HOTEL- UND GASTGEWERBE|SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|01342330212||01|N||
HCRISTAL|HCRIST01|02|CRISTALLO GMBH|HOTEL CRISTALLO|HAUPTSTRASSE, 91|SULDEN|BZ|39029|01342330212||02|N||
HELLER|HELLER01|02|HOTEL ELLER GMBH||HAUPTSTRASSE, 10|SULDEN|BZ|39029|01342330212||02|N||
HELLER01|HELLER01|02|HOGAST ITALIEN EINKAUFSGEN.|FUR DAS HOTEL- UND GASTGEWERBE|SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|01342330212||01|N||
HGLACIER|HGLACIER|02|GLACIER ROCK GUESTHOUSE|SPORTHOTEL PARADIES GMBH|HAUPTSTRASSE, 41|SULDEN|BZ|39029|02742480219||02|N||
HJULIU01|HJULIU01|02|HOGAST ITALIEN EINKAUFSGEN.|FUR DAS HOTEL- UND GASTGEWERBE|SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|01342330212||01|N||
HJULIUS|HJULIU01|02|HOTEL JULIUS PAYER KG|D. REINSTADLER ELMAR & C.|HAUPTSTRASSE, 29|SULDEN|BZ|39029|01342330212||02|N||
HKALBE01|HKALBE01|02|HOGAST ITALIEN EINKAUFSGEN.|FUR DAS HOTEL- UND GASTGEWERBE|SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|01342330212|||N||
HKALBERA|HKALBE01|02|KALBERALM|REINSTADLER PATRIZIA|HAUPTSTRASSE, 8|SULDEN|BZ|39029|01342330212||02|N||
HKANZE01|HKANZE01|02|HOGAST ITALIEN EINKAUFSGEN.|FUR DAS HOTEL- UND GASTGEWERBE|SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|01342330212|||N||
HKANZEL|HKANZE01|02|RESTAURANT KANZEL|SEILBAHNEN SULDEN GMBH|ROSIMSTRASSE, 39|SULDEN|BZ|39029|01342330212||02|N||
HKLEIN01|HKLEIN01|02|HOGAST ITALIEN EINKAUFSGEN.|FUR DAS HOTEL- UND GASTGEWERBE|SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|01342330212||01|N||
HKLEINE|HKLEIN01|02|ALPIN GARNI DIE KLEINE POST|WELLNESS HOTEL POST SULDEN GMBH|HAUPTSTRASSE, 25|SULDEN|BZ|39029|01342330212||02|N||
HLANGE01|HLANGE01|02|HOGAST ITALIEN EINKAUFSGEN.|FUR DAS HOTEL- UND GASTGEWERBE|SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|01342330212|||N||
HLANGENS|HLANGE01|02|RESTAURANT LANGENSTEIN|SEILBAHNEN SULDEN GMBH|ROSIMSTRASSE, 39|SULDEN|BZ|39029|01342330212||02|N||
HMARLE01|HMARLE01|02|HOGAST ITALIEN EINKAUFSGEN.|FUR DAS HOTEL- UND GASTGEWERBE|SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|01342330212||01|N||
HMARLET|HMARLE01|02|HOTEL MARLET GMBH|GAPP ARNOLD|HAUPTSTRASSE, 73|SULDEN|BZ|39029|01342330212||02|N||
HMIGNO01|HMIGNO01|02|HOGAST ITALIEN EINKAUFSGEN.|FUR DAS HOTEL- UND GASTGEWERBE|SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|01342330212||01|N||
HMIGNON|HMIGNO01|02|HOTEL MIGNON|D. WIESER HEINRICH & C. KG|ROSIMSTRASSE, 25|SULDEN|BZ|39029|01342330212||02|N||
HPARAD01|HPARAD01|02|HOGAST ITALIEN EINKAUFSGEN.|FUR DAS HOTEL- UND GASTGEWERBE|SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|01342330212||01|N||
HPARADIE|HPARAD01|02|SPORTHOTEL PARADIES GMHB|SPORTHOTEL & RESIDENCE PARADIES|HAUPTSTRASSE, 105|SULDEN|BZ|39029|01342330212||02|N||
HPARC|HPARC01|02|PARC HOTEL|D. GUTWENIGER HARTMANN & C. KG|KIRCHWEG, 16|SULDEN|BZ|39029|01342330212||02|N||
HPARC01|HPARC01|02|HOGAST ITALIEN EINKAUFSGEN.|FUR DAS HOTEL- UND GASTGEWERBE|SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|01342330212||01|N||
HPOST|HPOST01|02|WELLNESS HOTEL POST SULDEN GMBH||HAUPTSTRASSE, 22|SULDEN|BZ|39029|01342330212||02|N||
HPOST01|HPOST01|02|HOGAST ITALIEN EINKAUFSGEN.|FUR DAS HOTEL- UND GASTGEWERBE|SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|01342330212||01|N||
HSCHAU01|HSCHAU01|02|HOGAST ITALIEN EINKAUFSGEN.|FUR DAS HOTEL- UND GASTGEWERBE|SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|01342330212||01|N||
HSCHAUBA|HSCHAU01|02|SCHAUBACHHUTTE|WELLNESS HOTEL POST SULDEN GMBH|HAUPTSTRASSE, 22|SULDEN|BZ|39029|01342330212||02|N||
HSEILB01|HSEILB01|02|HOGAST ITALIEN EINKAUFSGEN.|FUR DAS HOTEL- UND GASTGEWERBE|SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|01342330212||01|N||
HSEILBAH|HSEILB01|02|SEILBAHNEN SULDEN GMBH||ROSIMSTRASSE, 39|SULDEN|BZ|39029|01342330212||02|N||
HZEBRU|HZEBRU01|02|HOTEL ZEBRU GMBH||HAUPTSTRASSE, 110|SULDEN|BZ|39029|01342330212||02|N||
HZEBRU01|HZEBRU01|02|HOGAST ITALIEN EINKAUFSGEN.|FUR DAS HOTEL- UND GASTGEWERBE|SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|01342330212||01|N||
ILSE|ILSE|02|BAR CAFE' ILSE|CSABA ZOLTAN|SULDEN, 92|STILFS|BZ|39029|02941780211||02|N||
INTERSKI|INTERSKI|02|CAFE'BAR GARNI INTERSKI|HERBERT WALLNOFER & CO.OHG|TRAFOI, 15|TRAFOI|BZ|39020|00310550215||02|N||
JULANG|JULANG|02|SPORT & DORFLADELE JULANG GMBH|D. JULIAN ANGERER|TRAFOI, 54|STILFS|BZ|39029|02879990212||02|N||
KINDER05|KINDER05|02|KINDERGARTEN SULDEN|GEMEINDEAMT STILFS|DORF, 7/A|SULDEN / STILFS|BZ|39020|00852560218||02|N||
KINDER20|KINDER20|02|KINDERGARTEN STILFS|GEMEINDEAMT STILFS|DORF, 7/A|STILFS|BZ|39020|00852560218||02|N||
LISA|LISA|02|LISA KG|DES PICHLER ANTON & CO.|FRAKTION SULDEN,115|STILFS|BZ|39020|00763440211||02|N||
MADACCIO|MADACCIO|02|HOTEL MADATSCH KG|ANGERER MANUELA & CO.|TRAFOI, 58|STILFS|BZ|39020|02766590216||02|N||
MESSNER|MESSNER|02|MESSNER MOUNTAIN BIWAK||SULDEN, 20|STILFS|BZ|39029|02398650214||02|N||
NIEDEREG|NIEDEREG|02|NIEDEREGGER|PINGGERA ELFRIEDE|HAUPTSTRASSE, 5|STILFS|BZ|39020|00667380216||02|N||
NIVES|NIVES|02|PLATZL KG|DES GAPP ARNOLD & CO.|HAUPTSTRASSE, 71|SULDEN - STILFS|BZ|39029|01471890218||02|N||
OLYMPI02|OLYMPI02|02|CAFE'KONDITOREI OLYMPIA|PICHLER ANDREAS|FORSTSTRASSE,32|SULDEN|BZ|39029|01653500213||02|N||
PALPEN05|PALPEN06|02|HOTEL ALPENHOF|GAPP MICHAEL|KIRCHWEG, 18|SULDEN|BZ|39029|02616790214||02|N||
PALPEN06|PALPEN06|02|GASTRO-POOL ITALIEN GMBH||SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|02616790214||02|N||
PARNSTEI|PARNST01|02|HOTEL ARNSTEIN GMBH|DAVID SCHWIENBACHER|ULTEN, 12|ST. GERTRAUD|BZ|39016|02616790214||02|N||
PAULMICH|PAULMICH|02|PENSION PAULMICHL|PAULMICHL EDMUND WOLFGANG|FORSTSTRASSE,104 SULDEN|STILFS|BZ|39029|02695420212||02|N||
PAYERHUT|PAYERHUT|02|PAYERHUTTE - SULDEN|WOLL BERNHARD|KOMPATSCHERSTR. 7|NATURNS|BZ|39020|02914490210||02|N||
PDUSSE01|PDUSSE01|02|GASTRO-POOL ITALIEN GMBH||SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|02616790214||02|N||
PDUSSELD|PDUSSE01|02|DUSSELDORFER HUTTE|REINSTADLER MARTIN|HAUPTSTRASSE, 85|SULDEN|BZ|39029|02616790214||02|N||
PEBERH01|PEBERH01|02|GASTRO-POOL ITALIEN GMBH||SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|02616790214||02|N||
PEBERHOF|PEBERH01|02|CHALET EBERHOFER|EBERHOFER ROBERT|FORSTSTRASSE, 8|SULDEN/STILFS|BZ|39029|02616790214||02|N||
PEDEN|PEDEN01|02|PENSION EDEN OHG|GALLIA GERDA & C.|ROSIMSTRASSE, 12|SULDEN|BZ|39020|02616790214||02|N||
PEDEN01|PEDEN01|02|GASTRO-POOL ITALIEN GMBH||SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|02616790214||02|N||
PGALLI01|PGALLI01|02|GASTRO-POOL ITALIEN GMBH||SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|02616790214||02|N||
PGALLIA|PGALLI01|02|GASTHOF GALLIA - GALLIA ERBEN|DES GALLIA ELMAR & CO. OHG|GOMAGOI, 18|STILFS|BZ|39020|02616790214||02|N||
PGAMPE01|PGAMPE01|02|GASTRO-POOL ITALIEN GMBH||SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|02616790214||02|N||
PGAMPEN|PGAMPE01|02|HOTEL GAMPEN|GAMPEN GMBH|HAUPTSTRASSE, 78|SULDEN|BZ|39029|02616790214||02|N||
PGERTR01|PGERTR01|02|GASTRO-POOL ITALIEN GMBH||SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|02616790214||02|N||
PGERTRAU|PGERTR01|02|HOTEL GERTRAUD|GALLIA MARTA & C.|HAUPTSTRASSE, 15|STILFS|BZ|39029|02616790214||02|N||
PHINTE01|PHINTE01|02|GASTRO-POOL ITALIEN GMBH||SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|02616790214||02|N||
PHINTERG|PHINTE01|02|HINTERGRAT HUTTE|GUTGSELL ULF RUDOLF|ROSIMSTRASSE, 22|SULDEN|BZ|39020|02616790214||02|N||
PLADURNE|PLADUR01|02|RESTAURANT LADURNER KG|OBERPRANTACHER ROLAND & C.|VELLAU, 41|ALGUND|BZ|39022|02616790214||02|N||
PLARCH01|PLARCH01|02|GASTRO-POOL ITALIEN GMBH||SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|02616790214||02|N||
PLARCHEN|PLARCH01|02|HOTEL LARCHENHOF KG|DES PFEIFER GERD & CO.|HAUPTSTRASSE, 148|SULDEN|BZ|39029|02616790214||02|N||
PMIRABEL|PMIRAB01|02|MIRABEL GMBH|HOTEL MIRABEL|J. SKASASTRASSE, 5|ST. CHRISTINA|BZ|39047|02616790214||02|N||
PMONTA01|PMONTA01|02|GASTRO-POOL ITALIEN GMBH||SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|02616790214||02|N||
PMONTANA|PMONTA01|02|PENSION RESTAURANT MONTANA|WUNDERER MANFRED & CO. OHG|ROSIMSTRASSE, 9|SULDEN|BZ|39029|02616790214||02|N||
PORTLE02|PORTLE03|02|HOTEL BAITA ORTLER GMBH|TSCHENETT KARL HEINZ|UNTERKIRCHWEG, 3-A|STILFS|BZ|39020|02616790214||02|N||
PORTLE03|PORTLE03|02|GASTRO-POOL ITALIEN GMBH||SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|02616790214||02|N||
PPANOR02|PPANOR03|02|PENSION PANORAMA|KLOTZ SIMON|FORSTSTRASSE, 23|SULDEN|BZ|39020|02616790214||02|N||
PPANOR03|PPANOR03|02|GASTRO-POOL ITALIEN GMBH||SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|02616790214||02|N||
PROLAN01|PROLAN01|02|GASTRO-POOL ITALIEN GMBH||SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|02616790214||02|N||
PROLAND|PROLAN01|02|ROLAND'S BISTRO KG|D. HOLZKNECHT ROLAND & C.|HAUPTSTRASSE, 77-A|SULDEN|BZ|39027|02616790214||02|N||
PTABAR01|PTABAR01|02|GASTRO-POOL ITALIEN GMBH||SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|02616790214||02|N||
PTABARET|PTABAR01|02|SCHUTZHUTTE TABARETTA|GANDER ANDREA IN REINSTADLER|FORSTSTRASSE, 68|SULDEN|BZ|39029|02616790214||02|N||
PTRAUB01|PTRAUB01|02|GASTRO-POOL ITALIEN GMBH||SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|02616790214||02|N||
PTRAUBE|PTRAUB01|02|HOTEL TRAUBE|DES SCHOPF MICHAEL & C. KG|DORFSTRASSE, 12|STILFS|BZ|39020|02616790214||02|N||
REINST04|REINST04|02|REINSTADLER IMBISS & CO. KG|LEBENSMITTEL|SULDEN, 43|SULDEN|BZ|39029|01626390213||02|N||
REINSTAD|REINSTAD|02|BACKEREI REINSTADLER||SULDEN, 70|SULDEN|BZ|39029|01674080211||02|N||
ROBERT01|ROBERT01|02|HOTEL SPORT ROBERT GMBH||HAUPTSTRASSE, 28|SULDEN|BZ|39029|00738940212||02|N||
ROSENHEI|ROSENHEI|02|PENSION ROSENHEIM|REINSTADLER VINZENZ|HAUPTSTRASSE, 14|GOMAGOI|BZ|39020|00324900216||02|N||
RUMWALDH|RUMWALDH|02|RUMWALDHOF||AUSSERSULDEN NR. 9|SULDEN|BZ|39029|00973460215||02|N||
RUNGG04|RUNGG05|02|FRISCHECENTER RUNGG SULDEN||HAUPTSTRASSE, 19|SULDEN|BZ|39029|00738950211||01|N||
RUNGG05|RUNGG05|02|MARKET RUNGG GMBH||HAUPTSTRASSE, 71|PRAD AM STILFSERJOCH|BZ|39026|00738950211||01|N||
SCHULAUS|SCHULAUS|02|GEMEINDEAMT STILFS|AUSSPEISUNG SOMMERSCHULE SULDEN|DORF, 7/A|SULDEN/STILFS|BZ|39020|00852560218||02|N||
SKIALM|SKIALM|02|SKI ALM|KOSSLER PFEIFER MARION|SULDEN, 42|SULDEN|BZ|39029|01433950217||02|N||
SKISCHUL|SKISCHUL|02|SKISCHULE-SULDEN|G.THONI|SULDEN, 72|SULDEN|BZ|39029|00719500217||02|N||
SONNE|SONNE|02|GASTHOF ZUR SONNE|DES HOFER PAUL & CO. KG|DORF NR. 50|STILFS|BZ|39020|02360670216||02|N||
STILFSER|STILFSER|02|HOTEL STILFSERHOF|DES FABIAN PLATZER & CO. KG|DORF, 156|STILFS|BZ|39029|02594280212||02|N||
SULDENHO|SULDENHO|02|GRAND HOTEL SULDEN|EMMEGI HOTELS SRL|SOLDA|SOLDA|BZ|39029|11882160150|1|02|N||
TIBETHUT|TIBETHUT|02|TIBET KG DES THOMA CHRISTIAN & CO.|ANGERER ELISABETH & CO.OHG|STILFSERJOCH, 10|STILFS|BZ|39029|00560390213||02|N||
TROJER01|TROJER01|02|VILLA TROJER|TROJER THOMAS|FORSTSTRASSE, 103|SULDEN|BZ|39029|00741110217||02|N||
TRUSHOF|TRUSHOF|02|PENSION TRUSHOF|DES FABIAN BRENNER|TRUS, 3 GOMAGOI|STILFS|BZ|39029|03200430217||02|N||
TSCHEN01|TSCHEN01|02|TSCHENETT ELISABETH|MINI MARKET-SPORT SHOP|TRAFOI NR.9|STILFS|BZ|39020|00171460215||02|N||
TUCKET|TUCKET|02|GASTH. TUCKETT|ORTLER VALERIA|TRAFOI, 18|STILFS|BZ|39029|01241130218||02|N||
WALDRUHE|WALDRUHE|02|REST. WALDRUHE|MATTIVI RINO|SULDEN, 59|SULDEN|BZ|39029|00590530218||02|N||
WEISSE16|WEISSE16|02|LANDESRETTUNGSVEREIN ONLUS|WEISSES KREUZ SEKT. SULDEN|ROSIMSTRASSE, 154|SULDEN|BZ|39029|80006120218||02|N||
WEISSKNO|WEISSKNO|02|ZUM WEISSEN KNOTT|SALATINO GABRIELE|VIA TRAFOI, 61|STELVIO|BZ|39020|02995080211||02|N||
YAK|YAK|02|YAK. YETI OHG|DES BLASBICHLER DANIEL & THOMAS|FORSTSTR. 28|SULDEN|BZ|39029|02967820214||02|N||
ZIRM|ZIRM|02|GARNI ZIRM|THEINER ERIKA|KIRCHWEG 70|SULDEN|BZ|39029|02565370216||02|N||
